id,image_file,case_title,image_case_type,risk_label,description,visual_risk_points,text_in_image,source_url,source_type,license_note,can_be_public_demo
I0001,curated_images/fake_login_page_01.png,偽登入頁面,fake_login_page,phishing,"A screenshot-like mockup of a branded login page asks for email, password, and MFA code after a warning banner.",偽登入表單;要求密碼;要求 MFA code;品牌仿冒,"For your security, sign in again and enter the verification code.",https://openphish.com/phishing_activity.html,threat_intel,source-informed sanitized mock image case; no real screenshot redistributed,true
I0002,curated_images/fake_payment_notice_02.png,偽付款通知,fake_payment_notice,phishing,A payment notice mockup asks the recipient to pay a small handling fee to release a delivery or prize.,小額付款;限時提示;付款按鈕;假客服資訊,A small processing fee is required before your refund can be released.,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0003,curated_images/fake_delivery_page_03.png,偽物流頁面,fake_delivery_page,phishing,A parcel tracking page mockup shows a failed delivery and a button to update address and payment details.,假物流追蹤;補件要求;地址更新;付款誘導,Delivery failed. Update address and redelivery payment within 24 hours.,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government,source-informed sanitized mock image case; no real screenshot redistributed,true
I0004,curated_images/qr_phishing_04.png,QR Code 釣魚,qr_phishing,phishing,A mail screenshot mockup asks the user to scan a QR code to restore mailbox access.,QR code;重新驗證;繞過網址檢查;行動裝置導流,Scan this QR code to restore mailbox access.,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0005,curated_images/fake_document_portal_05.png,偽文件簽署頁,fake_document_portal,phishing,A document portal mockup asks the recipient to sign in to view a confidential agreement.,偽文件入口;要求登入;期限壓力;附件或按鈕導流,A confidential document is waiting for your signature.,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0006,curated_images/legitimate_notice_screenshot_06.png,正常通知截圖,legitimate_notice_screenshot,normal,A normal notification mockup tells users to open the official app without requesting data or payment.,正常通知;無付款要求;無帳密要求;指向官方 App,Open the official app to review your notification. No action is required here.,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0007,curated_images/fake_login_page_07.png,偽登入頁面,fake_login_page,phishing,"A screenshot-like mockup of a branded login page asks for email, password, and MFA code after a warning banner.",偽登入表單;要求密碼;要求 MFA code;品牌仿冒,"For your security, sign in again and enter the verification code.",https://openphish.com/phishing_activity.html,threat_intel,source-informed sanitized mock image case; no real screenshot redistributed,true
I0008,curated_images/fake_payment_notice_08.png,偽付款通知,fake_payment_notice,phishing,A payment notice mockup asks the recipient to pay a small handling fee to release a delivery or prize.,小額付款;限時提示;付款按鈕;假客服資訊,A small processing fee is required before your refund can be released.,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0009,curated_images/fake_delivery_page_09.png,偽物流頁面,fake_delivery_page,phishing,A parcel tracking page mockup shows a failed delivery and a button to update address and payment details.,假物流追蹤;補件要求;地址更新;付款誘導,Delivery failed. Update address and redelivery payment within 24 hours.,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government,source-informed sanitized mock image case; no real screenshot redistributed,true
I0010,curated_images/qr_phishing_10.png,QR Code 釣魚,qr_phishing,phishing,A mail screenshot mockup asks the user to scan a QR code to restore mailbox access.,QR code;重新驗證;繞過網址檢查;行動裝置導流,Scan this QR code to restore mailbox access.,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0011,curated_images/fake_document_portal_11.png,偽文件簽署頁,fake_document_portal,phishing,A document portal mockup asks the recipient to sign in to view a confidential agreement.,偽文件入口;要求登入;期限壓力;附件或按鈕導流,A confidential document is waiting for your signature.,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0012,curated_images/legitimate_notice_screenshot_12.png,正常通知截圖,legitimate_notice_screenshot,normal,A normal notification mockup tells users to open the official app without requesting data or payment.,正常通知;無付款要求;無帳密要求;指向官方 App,Open the official app to review your notification. No action is required here.,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0013,curated_images/fake_login_page_13.png,偽登入頁面,fake_login_page,phishing,"A screenshot-like mockup of a branded login page asks for email, password, and MFA code after a warning banner.",偽登入表單;要求密碼;要求 MFA code;品牌仿冒,"For your security, sign in again and enter the verification code.",https://openphish.com/phishing_activity.html,threat_intel,source-informed sanitized mock image case; no real screenshot redistributed,true
I0014,curated_images/fake_payment_notice_14.png,偽付款通知,fake_payment_notice,phishing,A payment notice mockup asks the recipient to pay a small handling fee to release a delivery or prize.,小額付款;限時提示;付款按鈕;假客服資訊,A small processing fee is required before your refund can be released.,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0015,curated_images/fake_delivery_page_15.png,偽物流頁面,fake_delivery_page,phishing,A parcel tracking page mockup shows a failed delivery and a button to update address and payment details.,假物流追蹤;補件要求;地址更新;付款誘導,Delivery failed. Update address and redelivery payment within 24 hours.,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government,source-informed sanitized mock image case; no real screenshot redistributed,true
I0016,curated_images/qr_phishing_16.png,QR Code 釣魚,qr_phishing,phishing,A mail screenshot mockup asks the user to scan a QR code to restore mailbox access.,QR code;重新驗證;繞過網址檢查;行動裝置導流,Scan this QR code to restore mailbox access.,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0017,curated_images/fake_document_portal_17.png,偽文件簽署頁,fake_document_portal,phishing,A document portal mockup asks the recipient to sign in to view a confidential agreement.,偽文件入口;要求登入;期限壓力;附件或按鈕導流,A confidential document is waiting for your signature.,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0018,curated_images/legitimate_notice_screenshot_18.png,正常通知截圖,legitimate_notice_screenshot,normal,A normal notification mockup tells users to open the official app without requesting data or payment.,正常通知;無付款要求;無帳密要求;指向官方 App,Open the official app to review your notification. No action is required here.,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0019,curated_images/fake_login_page_19.png,偽登入頁面,fake_login_page,phishing,"A screenshot-like mockup of a branded login page asks for email, password, and MFA code after a warning banner.",偽登入表單;要求密碼;要求 MFA code;品牌仿冒,"For your security, sign in again and enter the verification code.",https://openphish.com/phishing_activity.html,threat_intel,source-informed sanitized mock image case; no real screenshot redistributed,true
I0020,curated_images/fake_payment_notice_20.png,偽付款通知,fake_payment_notice,phishing,A payment notice mockup asks the recipient to pay a small handling fee to release a delivery or prize.,小額付款;限時提示;付款按鈕;假客服資訊,A small processing fee is required before your refund can be released.,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0021,curated_images/fake_delivery_page_21.png,偽物流頁面,fake_delivery_page,phishing,A parcel tracking page mockup shows a failed delivery and a button to update address and payment details.,假物流追蹤;補件要求;地址更新;付款誘導,Delivery failed. Update address and redelivery payment within 24 hours.,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government,source-informed sanitized mock image case; no real screenshot redistributed,true
I0022,curated_images/qr_phishing_22.png,QR Code 釣魚,qr_phishing,phishing,A mail screenshot mockup asks the user to scan a QR code to restore mailbox access.,QR code;重新驗證;繞過網址檢查;行動裝置導流,Scan this QR code to restore mailbox access.,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0023,curated_images/fake_document_portal_23.png,偽文件簽署頁,fake_document_portal,phishing,A document portal mockup asks the recipient to sign in to view a confidential agreement.,偽文件入口;要求登入;期限壓力;附件或按鈕導流,A confidential document is waiting for your signature.,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0024,curated_images/legitimate_notice_screenshot_24.png,正常通知截圖,legitimate_notice_screenshot,normal,A normal notification mockup tells users to open the official app without requesting data or payment.,正常通知;無付款要求;無帳密要求;指向官方 App,Open the official app to review your notification. No action is required here.,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0025,curated_images/fake_login_page_25.png,偽登入頁面,fake_login_page,phishing,"A screenshot-like mockup of a branded login page asks for email, password, and MFA code after a warning banner.",偽登入表單;要求密碼;要求 MFA code;品牌仿冒,"For your security, sign in again and enter the verification code.",https://openphish.com/phishing_activity.html,threat_intel,source-informed sanitized mock image case; no real screenshot redistributed,true
I0026,curated_images/fake_payment_notice_26.png,偽付款通知,fake_payment_notice,phishing,A payment notice mockup asks the recipient to pay a small handling fee to release a delivery or prize.,小額付款;限時提示;付款按鈕;假客服資訊,A small processing fee is required before your refund can be released.,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0027,curated_images/fake_delivery_page_27.png,偽物流頁面,fake_delivery_page,phishing,A parcel tracking page mockup shows a failed delivery and a button to update address and payment details.,假物流追蹤;補件要求;地址更新;付款誘導,Delivery failed. Update address and redelivery payment within 24 hours.,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government,source-informed sanitized mock image case; no real screenshot redistributed,true
I0028,curated_images/qr_phishing_28.png,QR Code 釣魚,qr_phishing,phishing,A mail screenshot mockup asks the user to scan a QR code to restore mailbox access.,QR code;重新驗證;繞過網址檢查;行動裝置導流,Scan this QR code to restore mailbox access.,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0029,curated_images/fake_document_portal_29.png,偽文件簽署頁,fake_document_portal,phishing,A document portal mockup asks the recipient to sign in to view a confidential agreement.,偽文件入口;要求登入;期限壓力;附件或按鈕導流,A confidential document is waiting for your signature.,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0030,curated_images/legitimate_notice_screenshot_30.png,正常通知截圖,legitimate_notice_screenshot,normal,A normal notification mockup tells users to open the official app without requesting data or payment.,正常通知;無付款要求;無帳密要求;指向官方 App,Open the official app to review your notification. No action is required here.,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0031,curated_images/fake_login_page_31.png,偽登入頁面,fake_login_page,phishing,"A screenshot-like mockup of a branded login page asks for email, password, and MFA code after a warning banner.",偽登入表單;要求密碼;要求 MFA code;品牌仿冒,"For your security, sign in again and enter the verification code.",https://openphish.com/phishing_activity.html,threat_intel,source-informed sanitized mock image case; no real screenshot redistributed,true
I0032,curated_images/fake_payment_notice_32.png,偽付款通知,fake_payment_notice,phishing,A payment notice mockup asks the recipient to pay a small handling fee to release a delivery or prize.,小額付款;限時提示;付款按鈕;假客服資訊,A small processing fee is required before your refund can be released.,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0033,curated_images/fake_delivery_page_33.png,偽物流頁面,fake_delivery_page,phishing,A parcel tracking page mockup shows a failed delivery and a button to update address and payment details.,假物流追蹤;補件要求;地址更新;付款誘導,Delivery failed. Update address and redelivery payment within 24 hours.,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government,source-informed sanitized mock image case; no real screenshot redistributed,true
I0034,curated_images/qr_phishing_34.png,QR Code 釣魚,qr_phishing,phishing,A mail screenshot mockup asks the user to scan a QR code to restore mailbox access.,QR code;重新驗證;繞過網址檢查;行動裝置導流,Scan this QR code to restore mailbox access.,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor,source-informed sanitized mock image case; no real screenshot redistributed,true
I0035,curated_images/fake_document_portal_35.png,偽文件簽署頁,fake_document_portal,phishing,A document portal mockup asks the recipient to sign in to view a confidential agreement.,偽文件入口;要求登入;期限壓力;附件或按鈕導流,A confidential document is waiting for your signature.,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education,source-informed sanitized mock image case; no real screenshot redistributed,true
I0036,curated_images/legitimate_notice_screenshot_36.png,正常通知截圖,legitimate_notice_screenshot,normal,A normal notification mockup tells users to open the official app without requesting data or payment.,正常通知;無付款要求;無帳密要求;指向官方 App,Open the official app to review your notification. No action is required here.,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education,source-informed sanitized mock image case; no real screenshot redistributed,true
